time,N1,N2,N3,N4,N5
24530,15.1904001588619,20.8756264688057,27.7952151272967,1.52342387916183,4.45686358863929
24540,21.0909510911094,21.3229490006454,21.5778379783535,1.58053154748086,6.41898646937711
24550,19.397175396756,24.7619343891281,23.6921234506551,0.777379333687271,3.18517429204844
24560,20.0610428864006,25.8644030832636,22.8502625231596,0.66945086639052,2.22762943070288
24570,26.3305770959923,22.8899284652594,19.6885610421924,1.38147428624605,2.85907843901761
24580,18.8038246213203,21.6522103218963,27.8527080932354,0.527306411884681,1.89235291082713
24590,16.4348603341687,28.0392524626488,23.3196508156928,1.13737252481474,1.40211929742222
24600,21.2125581303468,16.8477280179834,26.4594946641164,1.94355205714021,4.37317352386679
24610,23.6570137471373,4.94990534661632,9.0623775908785,22.565501508862,7.81747356817131
24620,8.10664916276326,0.654636870108122,1.60684486240952,34.9560688122892,17.8994361527884
24630,2.17717795614656,0.0791924316890763,0.247661378689749,35.5140097517176,26.0258677384149
24640,1.05108451458822,0.0188386136194952,0.0896640224801601,29.1401959372908,34.2734866144453
24650,5.09099274101964,0.815080606036818,6.1767966011942,13.2750893805188,36.4853436383777
24660,14.9377804911005,1.49065951798719,23.4271097256688,4.58751664005127,26.5813221876814
24670,28.4830453253135,4.29226268996177,11.1109615166408,14.906588015398,12.1430359394779
24680,11.0909926557081,0.671239608491176,2.09196230440163,30.5325001009507,22.7703181028631
24690,6.40475518994651,0.200207346683969,1.00755066710688,26.2832575207108,32.4313161527113
24700,20.0547861448107,1.68750123576622,16.840033890845,9.3822958991812,24.7420539911813
24710,17.4736338261854,0.670330364198641,5.26326507239923,23.039343090746,25.0046274090852
24720,17.8981928354253,0.365914468056203,3.17782196439497,24.742772461682,25.6607958882182
24730,15.6731534569145,0.205213907307048,1.6253655108523,26.8582064578386,26.9052979918873
24740,17.1075619704406,0.22733599018337,1.33409646375898,27.3391652783504,25.0957581476981
24750,24.2710633751729,0.576517557018113,1.99082865693227,25.4749007867972,19.9777098389186
24760,21.1106932360186,0.359196641856387,2.25121245676178,19.8721856647654,27.5902165184745
24770,13.9127307042219,0.410134629073742,0.911360271117199,28.8161584232448,26.0065830403416
24780,27.4486117848831,2.10988291329796,4.3363087357608,14.4338837301227,23.4634934491175
24790,10.7852515037532,0.709800241943738,0.795218739509032,29.7979782019418,27.1082661223352
24800,22.5991660293051,4.27704477025769,9.02267735974535,12.5950551835621,23.3087197998832
24810,26.0005626430529,16.1665889779874,18.8996303323489,3.57699290012216,8.66926473351045
24820,26.3447152703514,17.3342107556097,21.8575944137716,1.99668868761191,5.40436645914753
24830,21.6140679816761,19.7680415361613,26.0686106560096,0.988443477258222,3.67192929023398
24840,13.2263104914442,28.3157572209339,26.7595359464283,0.688697811484286,1.23880837043341
24850,26.7624307598537,18.4427771271022,17.692295477416,5.50444756632346,4.27500748109406
24860,9.26495230577902,30.448397603345,27.2208766183996,0.911136059832773,0.749029202178229
24870,18.7228636178957,13.7251349180721,24.8606986784174,4.88215558270181,7.43372227614759
24880,25.5234090132909,7.3198741628733,9.63858457161457,17.8871220861608,11.7375072640119
24890,9.03790580652198,0.980277107552755,1.74254357129697,29.2199703891563,27.8446306321615
24900,22.7688209451301,2.79204943076879,13.8388538870871,11.3992427195616,22.7832281609939
24910,20.7757483302244,1.04814482293823,5.34865582686719,19.8328657303227,25.5427375179893
24920,20.4115951894978,0.587385370214451,3.13587399618945,21.6671047853418,26.3635951573132
24930,15.7215925487553,0.348732916803552,1.39543419260944,25.7545350683355,27.7257163913789
24940,17.2241784590121,0.594880127076597,1.45407865121369,27.41684906879,24.2140214969073
24950,27.3314503599559,1.92402349401839,3.56782977681256,16.9695204279921,22.2172966009093
24960,11.075014225268,0.444439528178559,0.693930814216786,28.2095628887526,29.0465390194939
24970,27.5869773040904,7.86999509064009,5.27242020854579,13.2780010130943,17.7678190833153
24980,15.4262413211136,31.7336668427942,9.90999366119067,2.85159488960165,4.04731226493694
24990,4.55509323515212,38.1409656808772,17.2858499555092,0.356955802128577,0.658393551977892
25000,1.19546277030629,37.1726068722917,24.0229833875402,0.0428277369990664,0.100164099845222
25010,0.303504597060119,34.1067335425235,31.2590130080395,0.00507836650109922,0.0149564731172794
25020,1.07823356041789,18.9573079033656,39.2360849239015,0.0578157107423905,0.304179497343397
25030,3.97645047974254,7.41738478226666,33.9270174978256,2.00302095570525,16.1115875040203
25040,13.2101133773632,2.74852254139998,27.1878694754914,1.44375733766467,25.861286754637
25050,30.5290396481016,6.46746136610066,14.4351306679262,3.37849345648433,13.9678272527404
25060,15.9640273303045,30.6664370293776,13.9718997682584,2.6487911392453,2.92028618445986
25070,4.60141707938002,35.3268957107391,23.2787487097489,0.328680763241456,0.468548457523068
25080,1.189800627498,33.5128888375984,31.4134189523723,0.0392276492534956,0.0706878882099445
25090,4.78330981491751,17.1234757529526,36.9471397407257,0.611805376008998,2.00520231124055
25100,12.5982862102067,5.60699774882183,24.9338894547834,3.89597156295785,23.1859534796039
25110,27.7621618166555,11.1006317073327,13.0239728770768,7.31376447549702,12.4484776013978
25120,12.1044035852135,29.7552901413834,21.6703514595825,1.56239817747638,2.46360394777225
25130,6.10332100406993,27.1946886353723,32.0207884173608,0.363405595135332,0.883730069394579
25140,18.0251096440294,9.42903125995596,23.4374206811956,3.64810354864675,17.4814490990008
25150,19.9003342596126,22.3384182890411,20.5756101232418,1.83039037316352,6.37577504058182
25160,26.304722168658,16.7662052209865,20.8968529580894,1.59763810004095,7.46173980041587
